"index","migration","journal_timestamp","snapshot_chain_valid","replay","added","removed","column_definition_changes","data_statements","explicit_transaction_control","concurrent_index_operation","file"
"75","0075_watery_war_machine","1787518876766","true","PASS","table:matter_relations; matter_relations.matter_a_id; matter_relations.matter_b_id; matter_relations.created_by; matter_relations.created_at; matters.parent_id","","","false","false","false","packages/db/migrations/0075_watery_war_machine.sql"
"76","0076_thankful_cerebro","1787522499785","true","PASS","contracts.matter_id","","","false","false","false","packages/db/migrations/0076_thankful_cerebro.sql"
"77","0077_fearless_maximus","1787723847169","true","PASS","table:matter_templates; matter_templates.id; matter_templates.matter_type_id; matter_templates.name; matter_templates.description; matter_templates.default_priority; matter_templates.default_risk; matter_templates.default_custom_fields; matter_templates.title_prefix; matter_templates.archived_at; matter_templates.created_at; matter_templates.updated_at","","","false","true","false","packages/db/migrations/0077_fearless_maximus.sql"
"78","0078_matter_template_name_unique","1787725336473","true","PASS","","","","false","false","false","packages/db/migrations/0078_matter_template_name_unique.sql"
"79","0079_gigantic_lester","1787726571848","true","PASS","table:matter_template_key_dates; matter_template_key_dates.id; matter_template_key_dates.matter_template_id; matter_template_key_dates.label; matter_template_key_dates.offset_days; matter_template_key_dates.note; matter_template_key_dates.display_order; table:matter_template_tasks; matter_template_tasks.id; matter_template_tasks.matter_template_id; matter_template_tasks.title; matter_template_tasks.due_offset_days; matter_template_tasks.assignee_role; matter_template_tasks.display_order","","","false","true","false","packages/db/migrations/0079_gigantic_lester.sql"
"80","0080_calm_cloak","1787840501945","true","PASS","contracts.search_vector; counterparties.search_vector; document_version_text.search_vector; documents.search_vector; entities.search_vector; matters.search_vector; requests.search_vector","","","false","false","false","packages/db/migrations/0080_calm_cloak.sql"
"81","0081_bright_talkback","1787846071304","true","PASS","document_version_text.email_subject","","","false","false","false","packages/db/migrations/0081_bright_talkback.sql"
"82","0082_great_betty_ross","1788031978333","true","PASS","document_folders.entity_id; documents.entity_id; entities.shares_authorized; entities.shares_issued; entities.par_value; entities.custom_fields; entities.is_confidential; table:entity_grants; entity_grants.entity_id; entity_grants.user_id; entity_grants.created_at; table:entity_holdings; entity_holdings.owner_entity_id; entity_holdings.owned_entity_id; entity_holdings.ownership_percent; entity_holdings.created_at; entity_holdings.updated_at; table:entity_obligations; entity_obligations.id; entity_obligations.entity_id; entity_obligations.label; entity_obligations.registration_id; entity_obligations.recurrence_months; entity_obligations.next_due_on; entity_obligations.assignee_id; entity_obligations.note; entity_obligations.matter_id; entity_obligations.completed_on; entity_obligations.created_at; entity_obligations.updated_at; table:entity_officers; entity_officers.id; entity_officers.entity_id; entity_officers.name; entity_officers.officer_role_id; entity_officers.appointed_on; entity_officers.resigned_on; entity_officers.user_id; entity_officers.created_at; entity_officers.updated_at; table:entity_registrations; entity_registrations.id; entity_registrations.entity_id; entity_registrations.jurisdiction; entity_registrations.registration_number; entity_registrations.registered_agent; entity_registrations.status; entity_registrations.created_at; entity_registrations.updated_at; table:entity_type_fields; entity_type_fields.entity_type_id; entity_type_fields.field_id; entity_type_fields.display_order; entity_type_fields.is_required; entity_type_fields.created_at; table:officer_roles; officer_roles.id; officer_roles.slug; officer_roles.display_name; officer_roles.description; officer_roles.display_order; officer_roles.is_system_default; officer_roles.archived_at; officer_roles.created_at; officer_roles.updated_at","","","true","false","false","packages/db/migrations/0082_great_betty_ross.sql"
"83","0083_wide_inhumans","1788096935030","true","PASS","documents.knowledge_item_id; intake_links.knowledge_item_id; table:knowledge_folders; knowledge_folders.id; knowledge_folders.parent_id; knowledge_folders.name; knowledge_folders.display_order; knowledge_folders.created_at; knowledge_folders.updated_at; table:knowledge_items; knowledge_items.id; knowledge_items.title; knowledge_items.knowledge_type_id; knowledge_items.body; knowledge_items.folder_id; knowledge_items.state; knowledge_items.audience; knowledge_items.primary_document_id; knowledge_items.replaced_by_id; knowledge_items.published_at; knowledge_items.created_by; knowledge_items.updated_by; knowledge_items.created_at; knowledge_items.updated_at; knowledge_items.archived_at; knowledge_items.search_vector; table:knowledge_types; knowledge_types.id; knowledge_types.slug; knowledge_types.display_name; knowledge_types.description; knowledge_types.display_order; knowledge_types.is_system_default; knowledge_types.archived_at; knowledge_types.created_at; knowledge_types.updated_at","","intake_links.url","true","false","false","packages/db/migrations/0083_wide_inhumans.sql"
"84","0084_lush_ender_wiggin","1788190784636","true","PASS","","","","false","true","false","packages/db/migrations/0084_lush_ender_wiggin.sql"
"85","0085_loud_scourge","1788362397610","true","PASS","table:ai_connector; ai_connector.id; ai_connector.preset; ai_connector.protocol; ai_connector.base_url; ai_connector.api_key; ai_connector.model; ai_connector.disabled_at; ai_connector.created_at; ai_connector.updated_at","","","false","false","false","packages/db/migrations/0085_loud_scourge.sql"
"86","0086_free_invisible_woman","1788371351337","true","PASS","table:ai_field_prompts; ai_field_prompts.slug; ai_field_prompts.prompt; ai_field_prompts.updated_at; table:contract_analysis_runs; contract_analysis_runs.id; contract_analysis_runs.contract_id; contract_analysis_runs.version_id; contract_analysis_runs.state; contract_analysis_runs.trigger; contract_analysis_runs.requested_by; contract_analysis_runs.preset; contract_analysis_runs.model; contract_analysis_runs.truncated; contract_analysis_runs.outcome; contract_analysis_runs.failure; contract_analysis_runs.started_at; contract_analysis_runs.finished_at; contracts.ai_unverified","","","false","false","false","packages/db/migrations/0086_free_invisible_woman.sql"
"87","0087_acoustic_gorilla_man","1788458045947","true","PASS","table:document_comparisons; document_comparisons.id; document_comparisons.document_id; document_comparisons.from_version_id; document_comparisons.to_version_id; document_comparisons.mode; document_comparisons.state; document_comparisons.change_model; document_comparisons.change_count; document_comparisons.redline_file_ref; document_comparisons.failure; document_comparisons.requested_by; document_comparisons.created_at; document_comparisons.finished_at","","","false","false","false","packages/db/migrations/0087_acoustic_gorilla_man.sql"
"88","0088_document-version-provenance","1788477813470","true","PASS","document_versions.source; document_versions.compared_from_version_id; document_versions.compared_to_version_id","","","false","true","false","packages/db/migrations/0088_document-version-provenance.sql"
"89","0089_document-version-provenance-indexes","1788518568969","true","PASS","","","","false","false","false","packages/db/migrations/0089_document-version-provenance-indexes.sql"
"90","0090_onboarding_reviewed_types","1788630266749","true","PASS","org_settings.onboarding_reviewed_types_at","","","false","false","false","packages/db/migrations/0090_onboarding_reviewed_types.sql"
"91","0091_account_issuer_retired","1788676706424","true","PASS","","accounts.issuer","","false","false","false","packages/db/migrations/0091_account_issuer_retired.sql"
"92","0092_request_triage_assignee","1788772249117","true","PASS","requests.assignee_id","","","false","false","false","packages/db/migrations/0092_request_triage_assignee.sql"
"93","0093_matter_status_groups_and_documents","1788773153222","true","PASS","matter_statuses.progression_group","","","true","true","false","packages/db/migrations/0093_matter_status_groups_and_documents.sql"
"94","0094_fantastic_deathbird","1788803996643","true","PASS","contract_tasks.description; matter_tasks.description","","","false","false","false","packages/db/migrations/0094_fantastic_deathbird.sql"
"95","0095_signing_update_mode","1788902516947","true","PASS","contract_envelopes.next_reconcile_at; signing_connectors.update_mode; signing_connectors.webhook_url","","","false","false","false","packages/db/migrations/0095_signing_update_mode.sql"
"96","0096_entity_par_value_currency","1789023198450","true","PASS","entities.par_value_currency","","","false","false","false","packages/db/migrations/0096_entity_par_value_currency.sql"
"97","0097_currencies_in_use","1789031726092","true","PASS","org_settings.currencies_in_use","","","true","false","false","packages/db/migrations/0097_currencies_in_use.sql"
"98","0098_distinct_key_date_reminders","1789055170744","true","PASS","","","","false","true","true","packages/db/migrations/0098_distinct_key_date_reminders.sql"
"99","0099_contract_portal_access","1789055170745","true","PASS","table:contract_stakeholders; contract_stakeholders.contract_id; contract_stakeholders.user_id; contract_stakeholders.created_at; contracts.business_owner_id","","","true","false","false","packages/db/migrations/0099_contract_portal_access.sql"
"100","0100_request_return_estimates","1789056936950","true","PASS","request_types.turnaround_days; requests.expected_by","","","false","false","false","packages/db/migrations/0100_request_return_estimates.sql"
"101","0101_key_date_reminders","1789057041755","true","PASS","contract_key_dates.reminder_offset_days; contract_key_dates.reminder_recipient_ids; matter_key_dates.reminder_offset_days; matter_key_dates.reminder_recipient_ids","","","false","false","false","packages/db/migrations/0101_key_date_reminders.sql"
"102","0102_high_leo","1789075500640","true","PASS","ai_connector.matter_preparation; table:conversion_drafts; conversion_drafts.id; conversion_drafts.request_id; conversion_drafts.actor_id; conversion_drafts.target_module; conversion_drafts.target_type_id; conversion_drafts.snapshot; conversion_drafts.state; conversion_drafts.model; conversion_drafts.suggestions; conversion_drafts.conflicts; conversion_drafts.warnings; conversion_drafts.failure; conversion_drafts.started_at; conversion_drafts.created_at; conversion_drafts.finished_at; matters.ai_unverified","","","false","false","false","packages/db/migrations/0102_high_leo.sql"
"103","0103_minor_revanche","1789082486485","true","PASS","conversion_drafts.attachment_reads; request_attachments.promoted_version_id","","","false","false","false","packages/db/migrations/0103_minor_revanche.sql"
"104","0104_contract_preparation","1789089711595","true","PASS","ai_connector.contract_preparation","","","false","false","false","packages/db/migrations/0104_contract_preparation.sql"
"105","0105_flowery_doctor_spectrum","1789096552081","true","PASS","ai_connector.contract_conversion_analysis; contract_analysis_runs.source_context; contracts.analysis_human_fields","","","false","false","false","packages/db/migrations/0105_flowery_doctor_spectrum.sql"
"106","0106_funny_hulk","1789099999750","true","PASS","contract_analysis_runs.lease_at","","","false","false","false","packages/db/migrations/0106_funny_hulk.sql"
"107","0107_sour_the_watchers","1789107009263","true","PASS","conversion_drafts.lease_at","","","false","false","false","packages/db/migrations/0107_sour_the_watchers.sql"
"108","0108_normal_psynapse","1789107305658","true","PASS","contract_analysis_runs.created_at; contract_analysis_runs.updated_at; conversion_drafts.updated_at","","","false","false","false","packages/db/migrations/0108_normal_psynapse.sql"
